time_s,facility_power_w,facility_power_mw
0.0,75140.35142247024,0.07514035142247023
0.005,79546.85585884115,0.07954685585884115
0.01,79687.05502296187,0.07968705502296186
0.015,83078.20072567592,0.08307820072567593
0.02,84394.78787542433,0.08439478787542433
0.025,89116.8384782849,0.0891168384782849
0.03,94053.09629972992,0.09405309629972992
0.035,96819.4931958502,0.0968194931958502
0.04,99467.56859437245,0.09946756859437245
0.045,97144.3362747147,0.09714433627471471
0.05,99531.48650150053,0.09953148650150054
0.055,99024.30533981104,0.09902430533981103
0.06,97274.49961903102,0.09727449961903102
0.065,99931.39881918041,0.09993139881918041
0.07,97950.48009794585,0.09795048009794585
0.075,97112.83313282233,0.09711283313282233
0.08,97375.00724697398,0.09737500724697398
0.085,99257.61148577525,0.09925761148577525
0.09,98332.37890662595,0.09833237890662595
0.095,98404.8117789368,0.0984048117789368
0.1,97974.65567817401,0.09797465567817401
0.105,98079.18179172566,0.09807918179172566
0.11,99175.71793750131,0.09917571793750131
0.115,100754.53797127772,0.10075453797127772
0.12,102648.11653307914,0.10264811653307915
0.125,101590.8010910011,0.1015908010910011
0.13,99948.75065863659,0.09994875065863659
0.135,100288.5178179534,0.1002885178179534
0.14,101445.44969410318,0.10144544969410318
0.145,100151.55162449085,0.10015155162449085
0.15,102113.28999689658,0.10211328999689658
0.155,99228.5794730325,0.0992285794730325
0.16,99566.9578563325,0.0995669578563325
0.165,100528.86437698407,0.10052886437698406
0.17,100930.24625133428,0.10093024625133427
0.17500000000000002,99541.50913898177,0.09954150913898177
0.18,95054.6917784075,0.0950546917784075
0.185,95464.58621152681,0.09546458621152681
0.19,99058.55709677866,0.09905855709677866
0.195,97362.918227049,0.097362918227049
0.2,99065.86798681728,0.09906586798681728
0.20500000000000002,100251.19334783954,0.10025119334783954
0.21,97398.0584883051,0.0973980584883051
0.215,97871.23138212561,0.09787123138212561
0.22,100452.14819762993,0.10045214819762993
0.225,97026.61211297277,0.09702661211297277
0.23,98429.97756391876,0.09842997756391876
0.23500000000000001,97749.5665309907,0.0977495665309907
0.24,98450.29212263734,0.09845029212263734
0.245,99350.44637967704,0.09935044637967705
0.25,98875.49363291556,0.09887549363291556
0.255,94209.95717105095,0.09420995717105095
0.26,99564.3796322726,0.0995643796322726
0.265,95221.47182822187,0.09522147182822187
0.27,95639.22646778221,0.09563922646778221
0.275,96241.69048487539,0.0962416904848754
0.28,97149.30935638708,0.09714930935638708
0.28500000000000003,97111.39562329206,0.09711139562329206
0.29,96455.37860461079,0.09645537860461079
0.295,97196.23384780371,0.09719623384780371
0.3,99160.88194506582,0.09916088194506582
0.305,100867.9508588767,0.1008679508588767
0.31,99425.01638924179,0.0994250163892418
0.315,99032.69386562215,0.09903269386562215
0.32,99570.61706680378,0.09957061706680378
0.325,100347.60373251943,0.10034760373251943
0.33,97522.90610411014,0.09752290610411014
0.335,99218.78833295035,0.09921878833295035
0.34,101217.44405424786,0.10121744405424786
0.34500000000000003,97192.12601326543,0.09719212601326543
0.35000000000000003,94630.21582359729,0.09463021582359729
0.355,95712.21437107523,0.09571221437107523
0.36,95464.12043441858,0.09546412043441858
0.365,96128.34514529702,0.09612834514529701
0.37,96892.16754986247,0.09689216754986246
0.375,95224.45866865457,0.09522445866865456
0.38,96710.19035785033,0.09671019035785032
0.385,95320.44150963158,0.09532044150963158
0.39,95262.40974548315,0.09526240974548315
0.395,97968.78845956146,0.09796878845956146
0.4,98316.52491533256,0.09831652491533256
0.405,96929.93389066822,0.09692993389066823
0.41000000000000003,98245.3487554197,0.09824534875541971
0.41500000000000004,95973.56242586089,0.09597356242586089
0.42,97183.79620536661,0.09718379620536662
0.425,99190.8500943883,0.0991908500943883
0.43,96600.65273119706,0.09660065273119706
0.435,96234.67148451839,0.09623467148451839
0.44,97734.24519015317,0.09773424519015317
0.445,96791.32047127269,0.09679132047127269
0.45,94529.82278851571,0.09452982278851571
0.455,95511.81604941498,0.09551181604941497
0.46,98591.65787867203,0.09859165787867204
0.465,95629.25969891266,0.09562925969891266
0.47000000000000003,97561.60385482702,0.09756160385482701
0.47500000000000003,94875.33266567912,0.09487533266567912
0.48,97446.06062152982,0.09744606062152981
0.485,96591.11980053598,0.09659111980053597
0.49,95638.31270288907,0.09563831270288907
0.495,97190.35206064735,0.09719035206064734
0.5,98055.19350100914,0.09805519350100914
0.505,97489.32945720156,0.09748932945720155
0.51,98321.02986631448,0.09832102986631448
0.515,98880.94526688936,0.09888094526688937
0.52,98564.65622438226,0.09856465622438225
0.525,98855.97266491773,0.09885597266491773
0.53,97994.37080573216,0.09799437080573216
0.535,100464.54500072126,0.10046454500072126
0.54,99575.3366375302,0.0995753366375302
0.545,96901.83891475853,0.09690183891475852
0.55,97513.25727866044,0.09751325727866045
0.555,98190.15064866008,0.09819015064866009
0.56,96377.0583710622,0.0963770583710622
0.5650000000000001,102157.30042245482,0.10215730042245481
0.5700000000000001,97993.51180492772,0.09799351180492773
0.5750000000000001,95764.94752244555,0.09576494752244555
0.58,100085.26286861722,0.10008526286861723
0.585,98525.41343613701,0.09852541343613701
0.59,98154.6145067576,0.0981546145067576
0.595,99110.68369295534,0.09911068369295534
0.6,97502.19123245543,0.09750219123245543
0.605,100212.91903357656,0.10021291903357656
0.61,100069.38526849904,0.10006938526849904
0.615,100309.76629285834,0.10030976629285834
0.62,100266.46749372255,0.10026646749372255
0.625,98116.07750345698,0.09811607750345698
0.63,99878.84449019746,0.09987884449019746
0.635,96680.0276898455,0.0966800276898455
0.64,96759.48135419081,0.09675948135419081
0.645,95019.27961751653,0.09501927961751652
0.65,95453.27615739853,0.09545327615739853
0.655,96496.21643046025,0.09649621643046025
0.66,96544.85686465644,0.09654485686465644
0.665,82109.66744890077,0.08210966744890077
0.67,82398.66915403205,0.08239866915403204
0.675,82215.02332038709,0.08221502332038709
0.68,79329.99056878143,0.07932999056878143
0.685,77907.66633540802,0.07790766633540802
0.6900000000000001,78309.8374144378,0.0783098374144378
0.6950000000000001,77153.953152577,0.077153953152577
0.7000000000000001,75499.48071029676,0.07549948071029676
0.705,73713.37079021824,0.07371337079021824
0.71,75827.62783596179,0.07582762783596178
